time,temperature,weather,condition,power_mhw
2020-01-01 00:00:00,-11.06,cold,night,59.99
2020-01-01 01:00:00,-10.2,cold,night,55.1
2020-01-01 02:00:00,-8.83,cold,night,56.3
2020-01-01 03:00:00,-11.23,cold,night,61.16
2020-01-01 04:00:00,-9.97,cold,night,57.43
2020-01-01 05:00:00,-9.47,cold,night,53.81
2020-01-01 06:00:00,-4.28,cold,day,75.0
2020-01-01 07:00:00,-8.11,cold,day,85.7
2020-01-01 08:00:00,-5.71,cold,day,87.17
2020-01-01 09:00:00,-8.03,cold,day,86.91
2020-01-01 10:00:00,-7.66,cold,day,87.88
2020-01-01 11:00:00,-4.37,cold,day,83.82
2020-01-01 12:00:00,-6.37,cold,day,80.82
2020-01-01 13:00:00,-2.38,cold,day,89.91
2020-01-01 14:00:00,-3.5,cold,day,89.95
2020-01-01 15:00:00,-5.64,cold,day,90.15
2020-01-01 16:00:00,-3.82,cold,day,81.59
2020-01-01 17:00:00,-4.8,cold,day,85.53
2020-01-01 18:00:00,0.83,cold,day,90.4
2020-01-01 19:00:00,-1.92,cold,night,55.82
2020-01-01 20:00:00,0.38,cold,night,48.12
2020-01-01 21:00:00,-2.64,cold,night,58.34
2020-01-01 22:00:00,-1.64,cold,night,54.68
2020-01-01 23:00:00,1.82,cold,night,52.54
2020-01-02 00:00:00,-10.58,cold,night,64.55
2020-01-02 01:00:00,-8.99,cold,night,52.37
2020-01-02 02:00:00,-8.84,cold,night,55.16
2020-01-02 03:00:00,-11.87,cold,night,49.77
2020-01-02 04:00:00,-7.44,cold,night,59.72
2020-01-02 05:00:00,-10.95,cold,night,49.38
2020-01-02 06:00:00,-8.52,cold,day,76.23
2020-01-02 07:00:00,-11.18,cold,day,84.86
2020-01-02 08:00:00,-11.18,cold,day,87.91
2020-01-02 09:00:00,-6.67,cold,day,78.2
2020-01-02 10:00:00,-5.81,cold,day,93.76
2020-01-02 11:00:00,-2.91,cold,day,86.64
2020-01-02 12:00:00,-7.03,cold,day,94.26
2020-01-02 13:00:00,-0.42,cold,day,89.02
2020-01-02 14:00:00,-1.4,cold,day,88.59
2020-01-02 15:00:00,-3.44,cold,day,89.77
2020-01-02 16:00:00,-4.42,cold,day,83.88
2020-01-02 17:00:00,0.17,cold,day,88.95
2020-01-02 18:00:00,-3.32,cold,day,90.28
2020-01-02 19:00:00,0.54,cold,night,50.28
2020-01-02 20:00:00,-3.79,cold,night,54.35
2020-01-02 21:00:00,-0.13,cold,night,59.1
2020-01-02 22:00:00,-0.07,cold,night,54.62
2020-01-02 23:00:00,-0.73,cold,night,51.45
2020-01-03 00:00:00,-5.75,cold,night,61.73
2020-01-03 01:00:00,-10.64,cold,night,50.29
2020-01-03 02:00:00,-9.34,cold,night,61.41
2020-01-03 03:00:00,-9.57,cold,night,43.62
2020-01-03 04:00:00,-11.65,cold,night,58.95
2020-01-03 05:00:00,-7.13,cold,night,59.53
2020-01-03 06:00:00,-8.03,cold,day,80.89
2020-01-03 07:00:00,-6.96,cold,day,88.59
2020-01-03 08:00:00,-6.67,cold,day,83.39
2020-01-03 09:00:00,-9.34,cold,day,81.24
2020-01-03 10:00:00,-5.6,cold,day,79.22
2020-01-03 11:00:00,-5.13,cold,day,86.9
2020-01-03 12:00:00,-7.69,cold,day,89.18
2020-01-03 13:00:00,-7.48,cold,day,85.57
2020-01-03 14:00:00,-6.08,cold,day,77.78
2020-01-03 15:00:00,-2.93,cold,day,76.18
2020-01-03 16:00:00,-1.07,cold,day,82.16
2020-01-03 17:00:00,2.46,cold,day,78.06
2020-01-03 18:00:00,2.05,cold,day,81.94
2020-01-03 19:00:00,-0.06,cold,night,53.28
2020-01-03 20:00:00,-0.85,cold,night,52.53
2020-01-03 21:00:00,3.03,cold,night,57.53
2020-01-03 22:00:00,2.23,cold,night,56.56
2020-01-03 23:00:00,1.57,cold,night,53.72
2020-01-04 00:00:00,-10.53,cold,night,63.21
2020-01-04 01:00:00,-8.04,cold,night,53.5
2020-01-04 02:00:00,-13.27,cold,night,58.02
2020-01-04 03:00:00,-8.31,cold,night,67.38
2020-01-04 04:00:00,-9.54,cold,night,50.29
2020-01-04 05:00:00,-10.63,cold,night,56.27
2020-01-04 06:00:00,-5.98,cold,day,91.55
2020-01-04 07:00:00,-7.62,cold,day,92.22
2020-01-04 08:00:00,-8.11,cold,day,86.87
2020-01-04 09:00:00,-7.67,cold,day,87.74
2020-01-04 10:00:00,-6.81,cold,day,84.53
2020-01-04 11:00:00,-9.83,cold,day,81.62
2020-01-04 12:00:00,-3.41,cold,day,77.76
2020-01-04 13:00:00,-5.94,cold,day,86.83
2020-01-04 14:00:00,-3.93,cold,day,85.62
2020-01-04 15:00:00,-2.42,cold,day,94.88
2020-01-04 16:00:00,-5.09,cold,day,84.7
2020-01-04 17:00:00,-3.18,cold,day,87.79
2020-01-04 18:00:00,-2.89,cold,day,89.36
2020-01-04 19:00:00,-2.7,cold,night,58.78
2020-01-04 20:00:00,1.3,cold,night,64.47
2020-01-04 21:00:00,0.08,cold,night,59.57
2020-01-04 22:00:00,0.65,cold,night,51.55
2020-01-04 23:00:00,1.07,cold,night,53.87
2020-01-05 00:00:00,-9.22,cold,night,55.32
2020-01-05 01:00:00,-8.1,cold,night,55.61
2020-01-05 02:00:00,-9.66,cold,night,52.94
2020-01-05 03:00:00,-11.71,cold,night,67.9
2020-01-05 04:00:00,-8.27,cold,night,55.5
2020-01-05 05:00:00,-9.14,cold,night,51.7
2020-01-05 06:00:00,-10.41,cold,day,90.82
2020-01-05 07:00:00,-10.74,cold,day,89.13
2020-01-05 08:00:00,-6.55,cold,day,85.71
2020-01-05 09:00:00,-6.12,cold,day,83.49
2020-01-05 10:00:00,-10.08,cold,day,81.01
2020-01-05 11:00:00,-5.41,cold,day,78.84
2020-01-05 12:00:00,-5.39,cold,day,84.09
2020-01-05 13:00:00,-7.13,cold,day,88.35
2020-01-05 14:00:00,-3.66,cold,day,84.57
2020-01-05 15:00:00,-0.61,cold,day,83.22
2020-01-05 16:00:00,-2.8,cold,day,79.12
2020-01-05 17:00:00,-4.06,cold,day,83.19
2020-01-05 18:00:00,-2.03,cold,day,89.04
2020-01-05 19:00:00,-0.71,cold,night,55.18
2020-01-05 20:00:00,1.85,cold,night,46.28
2020-01-05 21:00:00,-2.15,cold,night,58.3
2020-01-05 22:00:00,-0.28,cold,night,58.14
2020-01-05 23:00:00,3.35,cold,night,60.76
2020-01-06 00:00:00,-8.06,cold,night,53.82
2020-01-06 01:00:00,-8.36,cold,night,67.4
2020-01-06 02:00:00,-11.87,cold,night,57.76
2020-01-06 03:00:00,-7.15,cold,night,48.87
2020-01-06 04:00:00,-6.21,cold,night,56.27
2020-01-06 05:00:00,-9.19,cold,night,50.33
2020-01-06 06:00:00,-9.7,cold,day,94.07
2020-01-06 07:00:00,-10.01,cold,day,91.02
2020-01-06 08:00:00,-6.31,cold,day,89.22
2020-01-06 09:00:00,-7.36,cold,day,86.1
2020-01-06 10:00:00,-4.12,cold,day,87.98
2020-01-06 11:00:00,-4.42,cold,day,77.0
2020-01-06 12:00:00,-3.99,cold,day,94.42
2020-01-06 13:00:00,-6.53,cold,day,82.26
2020-01-06 14:00:00,-2.99,cold,day,94.9
2020-01-06 15:00:00,-0.38,cold,day,83.19
2020-01-06 16:00:00,-3.15,cold,day,81.46
2020-01-06 17:00:00,0.69,cold,day,81.2
2020-01-06 18:00:00,-0.91,cold,day,82.99
2020-01-06 19:00:00,4.09,cold,night,53.61
2020-01-06 20:00:00,-1.61,cold,night,54.36
2020-01-06 21:00:00,1.19,cold,night,55.38
2020-01-06 22:00:00,-1.8,cold,night,50.52
2020-01-06 23:00:00,-1.87,cold,night,47.52
2020-01-07 00:00:00,-8.9,cold,night,56.88
2020-01-07 01:00:00,-6.43,cold,night,56.4
2020-01-07 02:00:00,-5.04,cold,night,48.36
2020-01-07 03:00:00,-10.43,cold,night,53.74
2020-01-07 04:00:00,-8.6,cold,night,53.12
2020-01-07 05:00:00,-8.47,cold,night,62.41
2020-01-07 06:00:00,-8.45,cold,day,79.59
2020-01-07 07:00:00,-7.55,cold,day,76.62
2020-01-07 08:00:00,-4.88,cold,day,86.7
2020-01-07 09:00:00,-6.79,cold,day,92.35
2020-01-07 10:00:00,-8.58,cold,day,72.31
2020-01-07 11:00:00,-4.74,cold,day,78.64
2020-01-07 12:00:00,-8.56,cold,day,91.09
2020-01-07 13:00:00,-3.67,cold,day,80.29
2020-01-07 14:00:00,-2.82,cold,day,92.45
2020-01-07 15:00:00,-6.4,cold,day,83.32
2020-01-07 16:00:00,-5.27,cold,day,85.79
2020-01-07 17:00:00,-2.32,cold,day,88.02
2020-01-07 18:00:00,-1.25,cold,day,87.31
2020-01-07 19:00:00,-0.39,cold,night,54.88
2020-01-07 20:00:00,-1.87,cold,night,60.44
2020-01-07 21:00:00,-0.96,cold,night,58.82
2020-01-07 22:00:00,2.42,cold,night,53.09
2020-01-07 23:00:00,-0.78,cold,night,61.03
2020-01-08 00:00:00,-8.94,cold,night,57.02
2020-01-08 01:00:00,-10.74,cold,night,62.24
2020-01-08 02:00:00,-7.86,cold,night,54.32
2020-01-08 03:00:00,-5.98,cold,night,58.66
2020-01-08 04:00:00,-7.62,cold,night,55.96
